TransactionTime;Amount;Description;TransactionId
2024-04-29 17:10:33;3652.50;Supermarket;TXN000146
2024-11-30 06:19:46;408.51;Rent Payment;TXN000147
2024-03-22 14:03:18;6823.16;Streaming Service;TXN000148
2024-02-09 22:06:21;3542.90;Bookstore;TXN000149
2024-12-09 08:43:57;8747.51;Garden Centre;TXN000150
2024-10-18 01:38:15;1553.83;Petrol Station;TXN000151
2024-12-01 18:42:33;1633.23;Supermarket;TXN000152
2024-11-10 20:56:24;1778.58;School Fees;TXN000153
2024-01-10 15:01:32;1801.63;Insurance Premium;TXN000154
2024-10-30 20:22:14;9307.92;Supermarket;TXN000155
2024-09-17 03:59:13;8641.14;Supermarket;TXN000156
2024-04-06 09:05:10;2675.12;Supermarket;TXN000157
2024-09-29 08:23:11;1089.77;Bank Charges;TXN000158
2024-01-16 00:56:22;8586.49;Petrol Station;TXN000159
2024-03-18 12:09:12;8166.88;Internet Bill;TXN000160
2024-05-15 19:03:09;3058.55;Supermarket;TXN000161
2024-12-04 09:19:09;2283.45;Grocery Store;TXN000162
2024-09-13 07:57:18;1939.17;Insurance Premium;TXN000163
2024-04-18 04:46:07;8644.02;Butcher;TXN000164
2024-04-18 09:38:00;3517.60;Coffee Shop;TXN000165
2024-06-04 05:16:21;6797.71;Department Store;TXN000166
2024-07-27 05:53:34;3317.86;Grocery Store;TXN000167
2024-02-14 19:03:46;8770.74;Pharmacy;TXN000168
2024-03-10 08:22:21;5809.51;Pharmacy;TXN000169
2024-01-15 20:34:58;1092.83;School Fees;TXN000170
2024-05-14 06:02:14;7287.44;Insurance Premium;TXN000171
2024-06-18 11:29:08;6065.42;Coffee Shop;TXN000172
2024-02-14 21:53:48;3857.72;Hardware Store;TXN000173
2024-03-14 19:39:45;2554.42;Fast Food;TXN000174
2024-06-18 08:21:02;26.89;Supermarket;TXN000175
2024-07-28 02:44:10;6871.02;Bakery;TXN000176
2024-10-13 05:41:21;6708.91;Rent Payment;TXN000177
2024-06-16 11:58:59;708.97;Streaming Service;TXN000178
2024-12-23 14:12:23;3308.37;Insurance Premium;TXN000179
2024-09-14 15:13:09;8480.82;Bakery;TXN000180
2024-12-15 13:02:40;3009.92;Clothing Store;TXN000181
2024-09-15 23:53:32;4089.44;Medical Aid;TXN000182
2024-09-27 18:27:12;2963.30;Electricity Bill;TXN000183
2024-03-15 12:04:45;4209.84;Medical Aid;TXN000184
2024-09-20 01:03:38;7483.12;Water Bill;TXN000185
2024-08-27 01:00:53;5694.79;Medical Aid;TXN000186
2024-07-31 19:08:41;8338.08;Clothing Store;TXN000187
2024-04-21 10:13:46;2109.51;Supermarket;TXN000188
2024-08-13 05:50:59;6069.94;Insurance Premium;TXN000189
2024-06-29 14:00:14;4423.00;Streaming Service;TXN000190
2024-03-23 23:50:29;5116.12;Supermarket;TXN000191
2024-12-15 23:36:50;9597.76;Bakery;TXN000192
2024-03-06 21:38:18;6591.26;Clothing Store;TXN000193
2024-07-19 04:21:39;6641.24;Garden Centre;TXN000194
2024-05-10 04:10:51;942.84;Butcher;TXN000195
2024-04-01 05:08:02;6730.56;Petrol Station;TXN000196
2024-11-09 05:42:39;1999.11;Grocery Store;TXN000197
2024-01-18 22:44:35;2455.73;Cell Phone Contract;TXN000198
2024-08-25 09:29:10;8498.03;ATM Withdrawal;TXN000199
2024-06-25 20:47:10;4149.85;;TXN000200
2024-08-11 13:38:30;1952.21;Fast Food;TXN000201
2024-05-29 02:56:19;4948.33;Petrol Station;TXN000202
2024-02-27 07:27:52;6563.36;Grocery Store;TXN000203
2024-12-12 16:11:33;7511.38;Butcher;TXN000204
2024-12-09 21:08:02;1074.70;School Fees;TXN000205
2024-03-25 23:44:50;1766.93;Fast Food;TXN000206
2024-07-20 03:42:58;4650.39;Bookstore;TXN000207
2024-04-06 18:41:46;9174.61;Salary Deposit;TXN000208
2024-06-26 06:31:57;1341.92;Internet Bill;TXN000209
2024-09-16 06:16:31;5315.48;Bookstore;TXN000210
2024-08-19 06:01:04;3179.49;Butcher;TXN000211
2024-12-12 04:41:30;4430.87;Department Store;TXN000212
2024-10-06 08:07:09;8920.39;School Fees;TXN000213
2024-11-18 13:27:56;9068.57;Internet Bill;TXN000214
2024-12-14 10:35:08;1599.83;Bank Charges;TXN000215
2024-07-03 08:17:11;4505.75;Butcher;TXN000216
2024-04-06 00:26:28;8399.39;Pharmacy;TXN000217
2024-10-24 09:54:03;7778.19;Cell Phone Contract;TXN000218
2024-08-31 09:43:07;2399.83;Internet Bill;TXN000219
2024-01-31 02:11:49;7137.60;Petrol Station;TXN000220
2024-04-15 12:34:06;3364.78;Bookstore;TXN000221
2024-02-01 07:02:17;1392.22;Petrol Station;TXN000222
2024-05-28 18:08:51;6941.86;Fast Food;TXN000223
2024-03-24 02:11:07;651.58;School Fees;TXN000224
2024-05-08 12:02:17;5430.14;School Fees;TXN000225
2024-01-25 04:21:30;2076.07;School Fees;TXN000226
2024-05-31 06:11:13;9048.43;Hardware Store;TXN000227
2024-09-27 02:44:38;205.10;Butcher;TXN000228
2024-08-11 13:49:22;3809.63;Grocery Store;TXN000229
2024-05-16 14:37:46;2992.84;Medical Aid;TXN000230
2024-11-27 10:42:41;8916.61;Department Store;TXN000231
2024-06-11 17:33:41;5386.29;Bakery;TXN000232
2024-07-31 02:19:19;7999.88;Petrol Station;TXN000233
2024-07-08 14:37:42;2201.80;School Fees;TXN000234
2024-07-07 14:30:41;299.93;Insurance Premium;TXN000235
2024-09-16 18:21:14;6793.95;Medical Aid;TXN000236
2024-10-08 05:51:34;1658.63;Internet Bill;TXN000237
2024-12-23 02:44:56;1284.87;Garden Centre;TXN000238
2024-07-26 10:23:35;279.37;Medical Aid;TXN000239
2024-08-17 20:50:25;5647.71;Grocery Store;TXN000240
2024-02-02 14:26:49;6430.43;Electricity Bill;TXN000241
2024-12-02 15:38:24;4621.91;Online Purchase;TXN000242
2024-04-11 00:49:57;3796.87;Restaurant;TXN000243
2024-06-25 14:06:17;3274.86;Butcher;TXN000244
2024-12-07 14:50:20;3797.09;Butcher;TXN000245
2024-11-19 02:05:46;4221.01;Department Store;TXN000246
2024-02-01 19:25:17;4707.89;Bakery;TXN000247
2024-07-28 11:44:59;530.28;Rent Payment;TXN000248
2024-03-28 01:54:07;6504.29;Butcher;TXN000249
2024-09-10 02:47:37;412.14;Grocery Store;TXN000250
2024-04-06 00:50:50;2001.41;Grocery Store;TXN000251
2024-08-29 07:16:05;1532.15;Electricity Bill;TXN000252
2024-07-02 21:54:32;6697.22;Hardware Store;TXN000253
2024-03-25 15:34:36;4655.22;Pharmacy;TXN000254
2024-10-24 20:00:30;3694.89;Garden Centre;TXN000255
2024-08-23 19:57:24;9636.75;Fast Food;TXN000256
2024-02-14 11:31:25;7779.36;Water Bill;TXN000257
2024-04-30 19:05:34;1089.80;Grocery Store;TXN000258
2024-12-26 17:51:21;3126.14;Streaming Service;TXN000259
2024-12-18 15:25:01;9581.19;Medical Aid;TXN000260
2024-10-04 16:25:12;1991.12;Hardware Store;TXN000261
2024-09-25 04:59:34;8306.58;Petrol Station;TXN000262
2024-02-09 13:47:20;6974.26;Clothing Store;TXN000263
2024-11-26 05:18:26;6845.06;Supermarket;TXN000264
2024-02-17 00:18:53;7963.51;Hardware Store;TXN000265
2024-10-30 22:41:24;420.24;Bookstore;TXN000266
2024-06-15 08:46:20;6617.94;ATM Withdrawal;TXN000267
2024-07-15 11:53:46;6478.31;Grocery Store;TXN000268
2024-11-25 22:37:07;4205.97;Cell Phone Contract;TXN000269
2024-02-10 23:41:36;4340.47;Rent Payment;TXN000270
2024-09-03 20:04:57;8915.94;Internet Bill;TXN000271
2024-10-01 16:35:39;1538.23;Water Bill;TXN000272
2024-10-11 23:28:04;5221.73;Gym Membership;TXN000273
2024-04-14 21:21:01;6162.35;Bookstore;TXN000274
2024-10-27 20:10:53;4839.66;School Fees;TXN000275
2024-11-16 16:24:15;7312.22;Pharmacy;TXN000276
2024-05-05 04:05:47;8517.76;Department Store;TXN000277
2024-12-28 23:18:26;875.68;Internet Bill;TXN000278
2024-04-04 16:58:19;7506.51;Hardware Store;TXN000279
2024-08-25 00:42:13;6684.53;Insurance Premium;TXN000280
2024-01-12 03:30:12;4947.63;Insurance Premium;TXN000281
2024-03-11 14:52:13;4880.14;Rent Payment;TXN000282
2024-11-05 20:20:11;2590.68;Pharmacy;TXN000283
2024-12-07 21:10:36;5964.99;Pharmacy;TXN000284
2024-08-03 20:20:52;111.40;Restaurant;TXN000285
2024-02-03 05:58:14;2420.91;School Fees;TXN000286
2024-07-08 17:52:32;5555.66;Petrol Station;TXN000287
2024-09-25 04:56:44;4765.69;Fast Food;TXN000288
2024-07-09 14:47:11;4486.82;Grocery Store;TXN000289
2024-02-06 03:19:12;2949.12;Medical Aid;TXN000290
2024-09-25 15:55:25;2440.38;Streaming Service;TXN000291
2024-08-13 20:29:27;3696.15;Bookstore;TXN000292
2024-07-25 04:33:03;3443.79;Bakery;TXN000293
2024-08-01 17:59:32;3314.27;Fast Food;TXN000294
2024-06-25 05:12:44;2716.18;Pharmacy;TXN000295
2024-03-30 12:46:13;1215.23;Restaurant;TXN000296
2024-05-02 13:07:12;1204.23;Bookstore;TXN000297
2024-10-23 00:07:19;6904.04;Restaurant;TXN000298
2024-03-25 00:51:03;7387.92;Pharmacy;TXN000299
2024-10-08 09:37:18;5899.38;Butcher;TXN000300
2024-07-22 17:58:12;not-a-number;Salary Deposit;TXN000301
2024-11-19 08:39:31;1949.04;Petrol Station;TXN000302
2024-05-20 03:39:19;1802.44;Grocery Store;TXN000303
2024-10-01 23:12:38;5345.48;Pharmacy;TXN000304
2024-01-18 16:14:13;9742.23;Bookstore;TXN000305
2024-04-23 10:54:39;6976.50;Electricity Bill;TXN000306
2024-09-04 17:22:33;8685.06;Cell Phone Contract;TXN000307
2024-02-09 20:11:10;8727.60;Hardware Store;TXN000308
2024-04-20 10:14:04;4698.81;Internet Bill;TXN000309
2024-05-12 07:36:34;1851.61;Online Purchase;TXN000310
2024-04-08 01:16:08;9410.28;Cell Phone Contract;TXN000311
2024-02-14 07:22:09;8222.11;Medical Aid;TXN000312
2024-07-09 23:24:36;750.01;Gym Membership;TXN000313
2024-09-23 14:11:14;545.50;Electricity Bill;TXN000314
2024-11-11 00:23:31;5632.20;Clothing Store;TXN000315
2024-02-03 01:56:36;9938.25;Salary Deposit;TXN000316
2024-08-04 17:37:03;7646.03;Garden Centre;TXN000317
2024-08-19 12:18:17;7908.71;Petrol Station;TXN000318
2024-10-28 05:59:16;5229.98;Internet Bill;TXN000319
2024-12-18 19:52:28;4432.34;Bank Charges;TXN000320
2024-08-16 13:27:06;9899.42;Clothing Store;TXN000321
2024-08-08 20:00:38;6213.44;Garden Centre;TXN000322
2024-10-14 10:07:56;1001.24;Butcher;TXN000323
2024-03-21 16:43:25;6258.27;Pharmacy;TXN000324
2024-09-13 11:38:11;820.98;Petrol Station;TXN000325
2024-03-08 12:03:34;5523.85;Water Bill;TXN000326
2024-01-02 00:56:22;4090.68;Fast Food;TXN000327
2024-08-18 14:43:17;4703.96;Online Purchase;TXN000328
2024-03-30 21:30:53;2887.88;Clothing Store;TXN000329
2024-09-30 00:19:08;8596.61;ATM Withdrawal;TXN000330
2024-09-23 22:53:30;2341.67;Pharmacy;TXN000331
2024-11-01 23:05:21;7913.77;Hardware Store;TXN000332
2024-09-13 18:40:21;8040.21;Restaurant;TXN000333
2024-06-14 02:34:56;1156.50;Petrol Station;TXN000334
2024-09-08 12:23:35;1498.26;Pharmacy;TXN000335
2024-11-17 00:45:39;1430.80;Online Purchase;TXN000336
2024-03-05 10:30:44;7927.57;Garden Centre;TXN000337
2024-10-17 20:47:30;8243.34;Clothing Store;TXN000338
2024-06-19 13:12:24;1252.17;Fast Food;TXN000339
2024-04-28 02:20:07;6999.64;Pharmacy;TXN000340
2024-07-13 08:44:19;5403.88;Internet Bill;TXN000341
2024-02-01 05:46:20;5983.79;School Fees;TXN000342
2024-10-12 06:21:08;3229.67;Pharmacy;TXN000343
2024-01-11 01:04:41;922.26;Streaming Service;TXN000344
2024-11-20 15:41:56;8605.70;Hardware Store;TXN000345
2024-01-09 01:21:41;9994.73;Streaming Service;TXN000346
2024-11-15 00:12:03;2702.15;Online Purchase;TXN000347
2024-10-23 08:41:29;7564.37;Cell Phone Contract;TXN000348
2024-07-20 13:05:36;6517.93;Pharmacy;TXN000349
2024-03-11 11:36:05;9968.49;School Fees;TXN000350
2024-09-03 12:37:20;8143.49;ATM Withdrawal;TXN000351
2024-07-01 12:48:51;3485.78;Insurance Premium;TXN000352
2024-05-04 16:28:47;6703.96;Bank Charges;TXN000353
2024-03-03 10:59:46;3304.41;Fast Food;TXN000354
2024-07-11 10:06:21;2889.01;Medical Aid;TXN000355
2024-11-11 22:59:06;7606.63;Online Purchase;TXN000356
2024-06-25 15:17:05;889.63;Pharmacy;TXN000357
2024-05-05 13:07:48;1167.94;Butcher;TXN000358
2024-06-05 23:11:04;8649.59;Department Store;TXN000359
2024-01-01 10:43:43;6579.37;Bookstore;TXN000360
2024-06-28 09:55:53;4137.93;Restaurant;TXN000361
2024-07-20 08:12:19;3623.81;Butcher;TXN000362
2024-07-12 14:17:32;6257.21;Butcher;TXN000363
2024-01-21 01:03:23;2043.34;Bookstore;TXN000364
2024-02-20 21:07:54;9276.52;Internet Bill;TXN000365
2024-12-08 02:05:07;6984.82;Salary Deposit;TXN000366
2024-01-12 05:04:57;9730.76;Garden Centre;TXN000367
2024-11-06 10:08:38;2400.34;Water Bill;TXN000368
2024-04-30 16:24:04;5512.33;Bookstore;TXN000369
2024-06-07 10:44:55;941.07;Department Store;TXN000370
2024-12-20 13:07:23;1143.36;Salary Deposit;TXN000371
2024-09-08 13:05:30;8322.28;Cell Phone Contract;TXN000372
2024-12-28 04:57:23;7168.15;Coffee Shop;TXN000373
2024-09-30 22:54:46;2741.24;Department Store;TXN000374
2024-07-06 09:13:19;9801.66;Petrol Station;TXN000375
2024-06-26 09:33:30;5516.59;Medical Aid;TXN000376
2024-03-15 00:37:02;9218.54;Coffee Shop;TXN000377
2024-10-16 19:57:02;8793.59;Bank Charges;TXN000378
2024-01-28 02:40:37;2769.44;Supermarket;TXN000379
2024-11-27 19:42:02;4154.86;Supermarket;TXN000380
2024-07-16 04:27:29;2678.79;Grocery Store;TXN000381
2024-04-19 20:15:01;7262.52;Department Store;TXN000382
2024-08-15 22:39:21;5802.85;Streaming Service;TXN000383
2024-07-09 03:46:43;8653.09;Internet Bill;TXN000384
2024-07-28 03:56:05;4848.09;Insurance Premium;TXN000385
2024-08-02 08:14:35;7630.34;Medical Aid;TXN000386
2024-06-25 20:07:09;9328.26;Bank Charges;TXN000387
2024-03-14 06:22:03;9806.96;Petrol Station;TXN000388
2024-08-10 01:32:25;3835.50;Bank Charges;TXN000389
2024-10-28 04:35:54;4113.23;Insurance Premium;TXN000390
2024-10-16 05:09:18;4734.56;Supermarket;TXN000391
2024-05-28 01:19:54;3866.54;Streaming Service;TXN000392
2024-11-03 17:38:39;8208.45;Electricity Bill;TXN000393
2024-07-11 08:47:51;9647.63;Electricity Bill;TXN000394
2024-07-14 01:41:34;9652.92;Insurance Premium;TXN000395
2024-12-03 18:11:40;1012.54;Bank Charges;TXN000396
2024-06-19 23:57:04;1006.02;Internet Bill;TXN000397
2024-01-06 23:02:59;7226.49;School Fees;TXN000398
2024-12-04 05:41:01;6550.61;Electricity Bill;
2024-01-30 01:26:59;4699.74;Pharmacy;TXN000400
2024-05-11 11:37:09;6235.74;Medical Aid;TXN000401
2024-09-09 08:54:59;812.27;Insurance Premium;TXN000402
2024-11-27 00:23:49;6746.16;Bookstore;TXN000403
2024-05-27 13:56:39;9540.90;Gym Membership;TXN000404
2024-10-06 02:55:54;8874.63;Cell Phone Contract;TXN000405
2024-12-04 19:11:56;5414.21;Garden Centre;TXN000406
2024-01-27 13:43:39;2355.12;Streaming Service;TXN000407
2024-12-23 15:40:52;2880.63;Petrol Station;TXN000408
2024-10-17 00:22:01;912.80;Salary Deposit;TXN000409
2024-10-22 07:09:33;6340.51;Bank Charges;TXN000410
2024-02-09 00:47:43;4441.91;Fast Food;TXN000411
2024-04-26 07:13:34;9034.30;Online Purchase;TXN000412
2024-05-05 23:23:27;7962.68;Clothing Store;TXN000413
2024-05-19 05:07:13;3754.29;Electricity Bill;TXN000414
2024-04-04 20:05:06;5315.82;Hardware Store;TXN000415
2024-09-21 18:50:24;7926.48;Water Bill;TXN000416
2024-03-08 23:45:52;798.81;Bank Charges;TXN000417
2024-05-28 13:34:16;6200.29;Petrol Station;TXN000418
2024-07-12 06:35:41;9128.25;Electricity Bill;TXN000419
2024-03-31 04:09:11;4616.43;Pharmacy;TXN000420
2024-06-27 11:30:27;2560.46;Grocery Store;TXN000421
2024-12-15 02:26:05;8047.48;Clothing Store;TXN000422
2024-09-20 03:47:28;5469.97;ATM Withdrawal;TXN000423
2024-06-20 13:13:11;9451.96;Hardware Store;TXN000424
2024-04-26 04:19:10;6392.36;School Fees;TXN000425
2024-09-25 02:11:17;2508.23;Bank Charges;TXN000426
2024-04-27 07:58:41;1999.98;Medical Aid;TXN000427
2024-11-27 09:39:46;4836.77;Petrol Station;TXN000428
2024-05-28 02:34:22;5722.94;Hardware Store;TXN000429
2024-04-24 21:43:49;9926.00;Clothing Store;TXN000430
2024-01-09 12:29:30;9778.69;Streaming Service;TXN000431
2024-06-02 17:10:36;2751.78;Hardware Store;TXN000432
2024-12-01 23:00:45;6860.45;Bakery;TXN000433
2024-01-20 01:07:31;9106.15;Bakery;TXN000434
2024-07-11 21:50:01;8329.23;Clothing Store;TXN000435
2024-10-28 06:25:47;7989.81;Garden Centre;TXN000436
2024-11-07 10:32:51;3529.33;Gym Membership;TXN000437
2024-03-14 20:09:30;6212.08;Streaming Service;TXN000438
2024-10-20 10:29:27;7211.35;Streaming Service;TXN000439
2024-09-21 10:01:45;8384.15;Gym Membership;TXN000440
2024-02-07 17:38:00;9034.10;Gym Membership;TXN000441
2024-01-16 07:26:42;3095.93;Internet Bill;TXN000442
2024-01-13 22:58:47;5799.36;Bakery;TXN000443
2024-02-21 00:50:48;910.34;Clothing Store;TXN000444
2024-05-06 21:14:34;7476.59;Water Bill;TXN000445
2024-03-18 23:32:35;1330.14;Bookstore;TXN000446
2024-12-06 09:12:17;9714.21;Coffee Shop;TXN000447
2024-07-13 21:03:58;9134.82;Department Store;TXN000448
2024-03-04 21:39:54;2576.87;Department Store;TXN000449
2024-07-06 03:08:50;123.456;Clothing Store;TXN000450
2024-10-16 22:26:14;8704.40;Supermarket;TXN000451
2024-02-14 17:27:34;4688.16;ATM Withdrawal;TXN000452
2024-02-24 15:57:01;7543.22;Petrol Station;TXN000453
2024-11-30 01:05:29;6765.80;Streaming Service;TXN000454
